suryear,survey_name,region,cropgroup,active,kg,aiarea
2022,Arable crops,United Kingdom,All,Metalaxyl-M,1423,"25,597"
2020,Arable crops,United Kingdom,All,Metalaxyl-M,606,"118,575"
2018,Arable crops,United Kingdom,All,Metalaxyl-M,1360,"21,279"
2016,Arable crops,United Kingdom,All,Metalaxyl-M,2720,"43,400"
2014,Arable crops,United Kingdom,All,Metalaxyl-M,3165,"349,567"
2012,Arable crops,United Kingdom,All,Metalaxyl-M,2840,"339,258"
2010,Arable crops,United Kingdom,All,Metalaxyl-M,3727,"298,300"
2008,Arable crops,United Kingdom,All,Metalaxyl-M,3532,"52,550"
2006,Arable crops,United Kingdom,All,Metalaxyl-M,7616,"113,216"
2004,Arable crops,United Kingdom,All,Metalaxyl-M,8986,"137,255"
2002,Arable crops,United Kingdom,All,Metalaxyl-M,4007,"53,860"
2000,Arable crops,United Kingdom,All,Metalaxyl-M,4518,"60,686"
1998,Arable crops,United Kingdom,All,Metalaxyl-M,253,"3,313"
